Recommended Screening Test,Indications,,,,,,*where FHx refers to first degree relatives only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,min age,max age,gender,multiple partners,MSM,BMI,FHx* of DM,DM (gestational),habitual inactivity,HTN,hyperlipidemia,post-menopausal,Hx bone fracture,glucocorticoid therapy,parental hip fracture,glucocorticoid therapy,parental Hx of hip fracture,low body weight,current cigarette smoking,EtOH >14 drinks per week,rheumatoidarthritis,hypogonadism,early menopause,malabsorption,celiac disease,chronic liver disease,inflammatory bowel disease,>5 years since last cholesterol test,>3 years since last BP check,>3 years since last BMI check,Normal PAP smear Hx,>3 years since last PAP smear,negative HPV test,>5 years since last PAP smear,FHx colon cancer or polyps,>2 drinks per night,>5 drinks on occasions,>3 drinks per night,FHx of hemochromatosis,FHx of prostate cancer,Birthplace: Africa,Birthplace: Asia,30 pack year smoking history,quit smoking <15 years ago,Hx or current cigarette smoking,FHx of abdominal aortic aneurysm,>10 years since last TDap vaccine,no history of chicken pox,no previous varicella vaccine
Screen for chlamydia,24,24,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for chlamydia,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for gonorrhea,,24,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for gonorrhea,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for syphilis,,,M,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for diabetes,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for diabetes,,,,,,>25,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for diabetes,,,,,,>25,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for diabetes,,,,,,>25,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for diabetes,,,,,,>25,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for diabetes,,,,,,>25,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis ,65,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Screen for osteoporosis,,,F,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
